green,A,1,100,0.5,0.5,0.5,55,-1,1,0,0,TAIL.13.12,1,0,150.082711_13.997177;150.248134_13.993359;150.413557_13.989555;150.578980_13.985776;150.744404_13.982030;150.909830_13.978327;151.075256_13.974695;151.240687_13.971264;151.406127_13.968268;151.571577_13.965968;151.737037_13.964624;151.902501_13.964496;152.067960_13.965867;152.233388_13.969165;152.398745_13.974977;152.563957_13.983925;152.728920_13.996618;152.893486_14.013643;153.057470_14.035547;153.220657_14.062732;153.382826_14.095437;153.543742_14.133821;153.703166_14.177992;153.860854_14.228005;154.016583_14.283819;154.170386_14.344778;154.322726_14.409343;154.474294_14.475721;154.625808_14.542221;154.777992_14.607160;154.931542_14.668758;155.087016_14.725274;155.244532_14.775819;155.403831_14.820439;155.564605_14.859430;155.726568_14.893169;155.889463_14.922102;156.053066_14.946760;156.217162_14.967945;156.381550_14.986774;156.546067_15.004476;156.710571_15.022295;156.874918_15.041472;157.038940_15.063213;157.202447_15.088499;157.365241_15.118001;157.527097_15.152252;157.687754_15.191725;157.846919_15.236820;158.004286_15.287825;158.159756_15.344381;158.313658_15.405118;158.466584_15.468300;158.619171_15.532303;158.772069_15.595551;158.925919_15.656423;159.081244_15.713393;159.238150_15.765855;159.396376_15.814213;159.555615_15.859145;159.715590_15.901397;159.876054_15.941768;160.036778_15.981096;160.197527_16.020327;160.358035_16.060522;160.518011_16.102764;160.677135_16.148087;160.835043_16.197450;160.991335_16.251689;161.145744_16.311081;161.298360_16.374967;161.449513_16.442261;161.599575_16.511968;161.748935_16.583176;161.897989_16.655023;162.047098_16.726756;162.196297_16.798302;162.345215_16.870426;162.493358_16.944123;162.640225_17.020319;162.785312_17.099836;162.928124_17.183356;163.068238_17.271319;163.205528_17.363636;163.340159_17.459800;163.472350_17.559297;163.602317_17.661687;163.730267_17.766592;163.856396_17.873682;163.980889_17.982673;164.103920_18.093312;164.225655_18.205378;164.346247_18.318674;164.465844_18.433021;164.584584_18.548257;164.702602_18.664234;164.820026_18.780813;164.936980_18.897864;165.053579_19.015269;165.169908_19.132941;
green,A,2,100,1,1,1.5,55,-1,0,0,Pioneer.L.0,0,0,0,165.401957_19.368886;165.517766_19.487069;165.633492_19.605335;165.749177_19.723641;165.864866_19.841942;165.980602_19.960198;166.096423_20.078370;166.212348_20.196440;166.328387_20.314398;166.444548_20.432237;166.560839_20.549947;166.677268_20.667520;166.793843_20.784949;166.910573_20.902223;167.027465_21.019336;167.144523_21.136283;167.261743_21.253068;167.379117_21.369698;167.496639_21.486178;167.614302_21.602516;167.732100_21.718719;167.850025_21.834792;167.968069_21.950743;168.086222_22.066584;168.204454_22.182344;168.322726_22.298063;168.440994_22.413786;168.559218_22.529555;168.677356_22.645411;168.795366_22.761398;168.913206_22.877556;169.030834_22.993930;169.148183_23.110585;169.265155_23.227617;169.381645_23.345129;169.497550_23.463218;169.612772_23.581973;169.727216_23.701478;169.840791_23.821808;169.953415_23.943029;170.065008_24.065199;170.175492_24.188372;170.284793_24.312597;170.392843_24.437910;170.499581_24.564343;170.604956_24.691913;170.708923_24.820634;170.811444_24.950508;170.912491_25.081534;171.012043_25.213698;171.110150_25.346939;171.206952_25.481132;171.302621_25.616136;171.397312_25.751829;171.491172_25.888098;171.584334_26.024845;171.676926_26.161979;171.769070_26.299415;171.860881_26.437074;171.952473_26.574879;172.043931_26.712772;172.135224_26.850775;172.226199_26.988987;172.316683_27.127522;172.406509_27.266483;172.495524_27.405965;172.583585_27.546050;172.670565_27.686809;172.756351_27.828298;172.840847_27.970562;172.923971_28.113631;173.005659_28.257524;173.085898_28.402231;173.164738_28.547705;173.242254_28.693889;173.318516_28.840731;173.393589_28.988186;173.467531_29.136210;173.540397_29.284767;173.612240_29.433823;173.683105_29.583345;173.753037_29.733306;173.822077_29.883680;173.890263_30.034444;173.957631_30.185574;174.024219_30.337051;174.090086_30.488842;174.155319_30.640907;174.220006_30.793205;174.284226_30.945700;174.348057_31.098359;174.411570_31.251151;174.474835_31.404046;174.537917_31.557016;174.600880_31.710035;174.663790_31.863076;174.726707_32.016114;174.789696_32.169122;174.852820_32.322075;174.916144_32.474945;
green,A,3,100,1.5,1.5,3,55,-1,0,0,0,0,1,0,175.043651_32.780328;175.107925_32.932801;175.172561_33.085121;175.237561_33.237286;175.302926_33.389294;175.368660_33.541144;175.434763_33.692833;175.501237_33.844359;175.568085_33.995721;175.635307_34.146918;175.702906_34.297946;175.770883_34.448805;175.839238_34.599492;175.907975_34.750006;175.977092_34.900345;176.046591_35.050509;176.116462_35.200499;176.186692_35.350323;176.257264_35.499984;176.328163_35.649492;176.399371_35.798853;176.470869_35.948075;176.542638_36.097166;176.614660_36.246136;176.686913_36.394994;176.759377_36.543750;176.832029_36.692414;176.904847_36.840996;176.977810_36.989507;177.050895_37.137959;177.124086_37.286358;177.197372_37.434710;177.270742_37.583020;177.344184_37.731296;177.417686_37.879541;177.491238_38.027761;177.564827_38.175964;177.638441_38.324153;177.712070_38.472335;177.785701_38.620517;177.859322_38.768703;177.932921_38.916900;178.006488_39.065113;178.080017_39.213345;178.153509_39.361595;178.226974_39.509859;178.300418_39.658133;178.373850_39.806413;178.447275_39.954696;178.520703_40.102978;178.594139_40.251256;178.667593_40.399525;178.741071_40.547783;178.814580_40.696024;178.888129_40.844246;178.961725_40.992445;179.035377_41.140616;179.109107_41.288748;179.182944_41.436826;179.256925_41.584833;179.331083_41.732752;179.405454_41.880563;179.480076_42.028247;179.554985_42.175787;179.630220_42.323159;179.705823_42.470344;179.781836_42.617318;179.858302_42.764056;179.935269_42.910532;180.012785_43.056717;180.090909_43.202580;180.169708_43.348078;180.249258_43.493166;180.329642_43.637795;180.410948_43.781906;180.493274_43.925437;180.576727_44.068315;180.661422_44.210460;180.747491_44.351776;180.835079_44.492156;180.924348_44.631472;181.015476_44.769577;181.108596_44.906346;181.203744_45.041713;181.300903_45.175643;181.400043_45.308113;181.501117_45.439115;181.604058_45.568654;181.708783_45.696757;181.815186_45.823469;181.923144_45.948860;182.032518_46.073020;182.143168_46.196043;182.254971_46.318022;182.367796_46.439056;182.481504_46.559261;182.595948_46.678766;182.710972_46.797714;182.826414_46.916255;182.942110_47.034550;
green,B,4,100,2,2,5,55,-1,0,0,0,0,0,0,183.052304_47.048846;183.156911_47.154339;183.261509_47.259840;183.366095_47.365354;183.470662_47.470886;183.575206_47.576441;183.679721_47.682024;183.784202_47.787641;183.888645_47.893296;183.993044_47.998995;184.097395_48.104741;184.201699_48.210532;184.305960_48.316367;184.410179_48.422243;184.514360_48.528156;184.618505_48.634104;184.722618_48.740084;184.826701_48.846094;184.930757_48.952130;185.034790_49.058188;185.138816_49.164254;185.242863_49.270299;185.346964_49.376291;185.451151_49.482198;185.555459_49.587987;185.659919_49.693624;185.764565_49.799077;185.869433_49.904311;185.974555_50.009290;186.079975_50.113969;186.185760_50.218280;186.291992_50.322136;186.398759_50.425440;186.506153_50.528093;186.614266_50.629986;186.723198_50.731004;186.833050_50.831020;186.943930_50.929894;187.055946_51.027477;187.169201_51.123619;187.283786_51.218171;187.399792_51.310973;187.517315_51.401843;187.636455_51.490581;187.757311_51.576963;187.879987_51.660738;188.004578_51.741634;188.131030_51.819591;188.259020_51.895009;188.388079_51.968589;188.517729_52.041127;188.647491_52.113468;188.776882_52.186467;188.905422_52.260945;189.032661_52.337617;189.158386_52.416749;189.282698_52.498087;189.405801_52.581247;189.527896_52.665884;189.649177_52.751684;189.769837_52.838358;189.890063_52.925632;190.010040_53.013249;190.129955_53.100951;190.250000_53.188475;190.370370_53.275551;190.491262_53.361899;190.612877_53.447224;190.735421_53.531208;190.859103_53.613502;190.984136_53.693725;191.110609_53.771657;191.238314_53.847560;191.366850_53.922053;191.495800_53.995830;191.624744_54.069619;191.753262_54.144143;191.880935_54.220099;192.007361_54.298108;192.132310_54.378460;192.255851_54.460965;192.378189_54.545247;192.499529_54.630961;192.620072_54.717796;192.740012_54.805463;192.859540_54.893691;192.978846_54.982220;193.098114_55.070800;193.217529_55.159181;193.337276_55.247112;193.457539_55.334335;193.578508_55.420573;193.700376_55.505534;193.823343_55.588894;193.947611_55.670298;194.073323_55.749451;194.200351_55.826481;194.328316_55.901950;194.456791_55.976552;194.585347_56.051012;
green,B,5,100,3,3,8,55,-1,0,0,0,0,0,0,194.840992_56.202423;194.967231_56.280734;195.091959_56.361428;195.215156_56.444443;195.337018_56.529410;195.457757_56.615968;195.577580_56.703792;195.696689_56.792585;195.815277_56.882072;195.933538_56.971991;196.051664_57.062089;196.169864_57.152089;196.288364_57.241693;196.407398_57.330585;196.527207_57.418428;196.648034_57.504862;196.770133_57.589485;196.893766_57.671845;197.019189_57.751445;197.146492_57.828001;197.275503_57.901651;197.405928_57.972771;197.537471_58.041810;197.669830_58.109276;197.802705_58.175723;197.935798_58.241734;198.068865_58.307800;198.201911_58.373905;198.335192_58.439534;198.469008_58.504061;198.603654_58.566830;198.739419_58.627130;198.876573_58.684181;199.015350_58.737137;199.155790_58.785510;199.297660_58.829535;199.440636_58.869845;199.584427_58.907167;199.728775_58.942294;199.873449_58.976062;200.018240_59.009332;200.162947_59.042964;200.307366_59.077797;200.451282_59.114640;200.594453_59.154262;200.736604_59.197378;200.877429_59.244624;201.016606_59.296511;201.153978_59.353015;201.289702_59.413396;201.424092_59.476705;201.557490_59.542089;201.690248_59.608768;201.822726_59.676007;201.955281_59.743092;202.088206_59.809437;202.221563_59.874913;202.355221_59.939772;202.489028_60.004324;202.622830_60.068885;202.756475_60.133771;202.889809_60.199293;203.022693_60.265723;203.155158_60.332983;203.287504_60.400480;203.420131_60.467420;203.553440_60.532984;203.687826_60.596299;203.823670_60.656399;203.961323_60.712199;204.101001_60.762689;204.242612_60.807475;204.385856_60.846745;204.530425_60.880835;204.676040_60.910170;204.822455_60.935242;204.969462_60.956602;205.116887_60.974891;205.264581_60.990916;205.412416_61.005602;205.560291_61.019893;205.708110_61.034738;205.855768_61.051080;206.003133_61.069843;206.150052_61.091795;206.296370_61.117433;206.441921_61.147100;206.586518_61.181099;206.729956_61.219684;206.872016_61.263064;207.012479_61.311358;207.151315_61.364172;207.288832_61.420364;207.425522_61.478558;207.561907_61.537468;207.698519_61.595845;207.835883_61.652413;207.974499_61.705808;208.114714_61.754821;208.256556_61.798901;
green,B,6,100,4,4,12,55,-1,0,0,0,0,0,0,208.544399_61.872189;208.690011_61.901524;208.836497_61.926137;208.983679_61.946186;209.131385_61.961942;209.279454_61.973890;209.427751_61.982650;209.576179_61.988872;209.724677_61.993213;209.873207_61.996341;210.021749_61.998922;210.170288_62.001629;210.318809_62.005138;210.467285_62.010128;210.615671_62.017273;210.763889_62.027240;210.911827_62.040682;211.059333_62.058203;211.206229_62.080234;211.352333_62.107006;211.497453_62.138675;211.641386_62.175358;211.783925_62.217125;211.924864_62.264003;212.064052_62.315861;212.201609_62.371936;212.337960_62.430909;212.473627_62.491450;212.609152_62.552312;212.745078_62.612267;212.881938_62.670036;213.020227_62.724264;213.160212_62.773927;213.301848_62.818666;213.444958_62.858441;213.589354_62.893258;213.734850_62.923158;213.881258_62.948219;214.028398_62.968559;214.176093_62.984412;214.324175_62.996160;214.472504_63.004262;214.620977_63.009194;214.769517_63.011446;214.918077_63.011514;215.066630_63.009891;215.215166_63.007038;215.363684_63.003378;215.512193_62.999327;215.660702_62.995300;215.809223_62.991711;215.957760_62.988978;216.106315_62.987528;216.254874_62.987832;216.403409_62.990393;216.551868_62.995710;216.700171_63.004279;216.848207_63.016580;216.995831_63.033071;217.142870_63.054121;217.289144_63.079952;217.434465_63.110685;217.578640_63.146405;217.721474_63.187156;217.862773_63.232942;218.002360_63.283713;218.140225_63.339011;218.276682_63.397729;218.412232_63.458530;218.547405_63.520169;218.682742_63.581446;218.818777_63.641143;218.956030_63.697958;219.094901_63.750664;219.235480_63.798623;219.377619_63.841745;219.521132_63.880044;219.665836_63.913575;219.811546_63.942429;219.958085_63.966733;220.105284_63.986676;220.252978_64.002566;220.401024_64.014808;220.549303_64.023838;220.697728_64.030109;220.846234_64.034081;220.994780_64.036220;221.143340_64.036927;221.291902_64.036473;221.440459_64.035055;221.589006_64.032865;221.737544_64.030097;221.886075_64.026943;222.034601_64.023592;222.183126_64.020167;222.331649_64.016705;222.480173_64.013214;222.628695_64.009700;222.777217_64.006169;222.925739_64.002629;
green,C,7,100,5,5,17,55,-1,0,0,0,0,0,0,223.115836_64.003615;223.347508_64.009133;223.579182_64.014614;223.810856_64.020034;224.042534_64.025348;224.274219_64.030289;224.505922_64.034254;224.737645_64.036512;224.969378_64.036324;225.201077_64.032742;225.432638_64.024320;225.663850_64.009320;225.894355_63.986043;226.123640_63.952969;226.351084_63.909055;226.576019_63.853745;226.797747_63.786748;227.015613_63.708089;227.229669_63.619463;227.441233_63.524922;227.652285_63.429222;227.864854_63.337013;228.080745_63.253044;228.300706_63.180485;228.524331_63.120144;228.750893_63.071961;228.979665_63.035638;229.209950_63.010480;229.441123_62.995175;229.672712_62.988012;229.904428_62.987179;230.136127_62.990867;230.367769_62.997410;230.599373_63.005286;230.830982_63.012998;231.062637_63.019027;231.294347_63.021671;231.526040_63.018985;231.757511_63.008963;231.988368_62.989662;232.218009_62.959333;232.445641_62.916581;232.670315_62.860397;232.890984_62.790162;233.106772_62.706081;233.317785_62.610484;233.525202_62.507204;233.730528_62.399778;233.935318_62.291319;234.140842_62.184266;234.347401_62.079220;234.554524_61.975284;234.761643_61.871342;234.968200_61.766292;235.174035_61.659831;235.379968_61.553564;235.587452_61.450396;235.797954_61.353627;236.012788_61.267079;236.232449_61.193744;236.456235_61.134078;236.683000_61.086823;236.911757_61.050207;237.141734_61.021993;237.372343_60.999257;237.603152_60.978540;237.833810_60.956278;238.063905_60.929010;238.292923_60.893987;238.520255_60.849420;238.745166_60.794001;238.966806_60.726739;239.184703_60.648114;239.399556_60.561355;239.612953_60.471004;239.826647_60.381373;240.042304_60.296662;240.260703_60.219321;240.481436_60.148850;240.703721_60.083382;240.926856_60.020836;241.150196_59.959017;241.373111_59.895699;241.594935_59.828703;241.814934_59.755996;242.032341_59.675917;242.247100_59.588925;242.460385_59.498312;242.673929_59.408323;242.889456_59.323292;243.108355_59.247538;243.330906_59.183322;243.556414_59.130327;243.784075_59.087408;244.013219_59.053135;244.243279_59.025475;244.473773_59.001533;244.704310_58.977988;244.934514_58.951501;245.163925_58.919028;
green,C,8,100,0,0,17,55,-1,0,0,0,0,2,0,245.618135_58.828052;245.841556_58.766903;246.061513_58.694289;246.278036_58.611857;246.492340_58.523703;246.706145_58.434319;246.921207_58.348069;247.138900_58.268789;247.359391_58.197621;247.581932_58.133072;247.805746_58.073026;248.030146_58.015176;248.254451_57.956964;248.477895_57.895587;248.699599_57.828277;248.918543_57.752565;249.133837_57.667052;249.345571_57.572973;249.554795_57.473366;249.762772_57.371155;249.970792_57.269032;250.179730_57.168806;250.389456_57.070230;250.599206_56.971706;250.808171_56.871537;251.015561_56.768166;251.221098_56.661151;251.425393_56.551766;251.629473_56.441977;251.834378_56.333747;252.041084_56.229024;252.249892_56.128551;252.460135_56.031089;252.670792_55.934516;252.880843_55.836646;253.089384_55.735617;253.296229_55.631147;253.501988_55.524540;253.707462_55.417382;253.913457_55.311236;254.120542_55.207236;254.328319_55.104615;254.535516_55.000841;254.740711_54.893202;254.942482_54.779327;255.139734_54.657815;255.332361_54.529064;255.520992_54.394499;255.706316_54.255397;255.888989_54.112819;256.069618_53.967654;256.248721_53.820605;256.426721_53.672221;256.604009_53.522985;256.780968_53.373359;256.957975_53.223789;257.135209_53.074489;257.312292_52.925010;257.488446_52.774442;257.662878_52.621889;257.834845_52.466569;258.003650_52.307828;258.168278_52.144782;258.327189_51.976192;258.478925_51.801139;258.622594_51.619414;258.757844_51.431335;258.884760_51.237524;259.003714_51.038714;259.115234_50.835628;259.219897_50.628915;259.318297_50.419141;259.411019_50.206788;259.498609_49.992262;259.581565_49.775898;259.660335_49.557972;259.735319_49.338712;259.806867_49.118304;259.875291_48.896905;259.940866_48.674645;260.003837_48.451631;260.064473_48.227970;260.123088_48.003771;260.179979_47.779126;260.235385_47.554111;260.289505_47.328782;260.342506_47.103187;260.394529_46.877364;260.445699_46.651347;260.496121_46.425161;260.545892_46.198831;260.595097_45.972377;260.643813_45.745818;260.692109_45.519168;260.740053_45.292444;260.787704_45.065658;260.835120_44.838823;260.882355_44.611950;260.929464_44.385050;260.976496_44.158135;
green,C,9,100,-5,-5,12,55,-1,0,0,Edgebrook.L.0,0,0,0,260.913518_42.632731;260.739796_42.409833;260.563751_42.188775;260.383637_41.971038;260.197391_41.758565;260.002470_41.554102;259.797018_41.360274;259.581690_41.177417;259.359165_41.003294;259.132843_40.834066;258.906232_40.665218;258.681561_40.493808;258.459537_40.318986;258.240470_40.140476;258.024641_39.958068;257.812155_39.771773;257.602784_39.581979;257.396116_39.389242;257.191751_39.194059;256.989320_38.996870;256.788491_38.798047;256.588985_38.597896;256.390551_38.396681;256.192947_38.194650;255.995939_37.992037;255.799289_37.789077;255.602745_37.586014;255.406049_37.383098;255.208942_37.180582;255.011158_36.978727;254.812355_36.777878;254.612032_36.578547;254.409578_36.381386;254.204334_36.187139;253.995581_35.996678;253.782532_35.811051;253.564316_35.631554;253.339970_35.459817;253.108456_35.297938;252.869013_35.148094;252.622350_35.010375;252.370652_34.881967;252.116409_34.758592;251.861672_34.636228;251.606567_34.514643;251.349424_34.397498;251.088339_34.289592;250.822109_34.195252;250.551321_34.114740;250.277715_34.044147;250.002875_33.978384;249.728117_33.912285;249.454642_33.841174;249.183762_33.760907;248.916847_33.668408;248.653846_33.565126;248.392614_33.457328;248.130259_33.352369;247.864363_33.256944;247.594477_33.173399;247.321862_33.099061;247.047896_33.029755;246.773822_32.960866;246.500974_32.887388;246.230934_32.804379;245.965512_32.707793;245.705514_32.597327;245.449714_32.477277;245.195862_32.353094;244.941720_32.229511;244.686336_32.108512;244.430559_31.988338;244.175880_31.865877;243.923664_31.738455;243.674090_31.605908;243.425809_31.470925;243.176998_31.336932;242.925987_31.207147;242.672419_31.082410;242.417613_30.960191;242.163407_30.836745;241.911456_30.708796;241.662044_30.575939;241.413802_30.440885;241.164893_30.307078;240.913650_30.177747;240.659648_30.053905;240.403953_29.933563;240.148039_29.813681;239.893130_29.691691;239.638924_29.568228;239.383449_29.447460;239.124387_29.334753;238.860003_29.235392;238.590499_29.150757;238.317640_29.077388;238.043159_29.010159;237.768534_28.943505;237.495215_28.871821;237.224867_28.789867;
green,C,10,100,-4.5,-4.5,7.5,55,-1,0,0,0,0,2,0,237.224867_28.789867;236.959409_28.693438;236.699681_28.582365;236.444398_28.461229;236.191225_28.335669;235.937838_28.210542;235.683136_28.088117;235.427696_27.967228;235.172671_27.845471;234.919059_27.720813;234.666552_27.593913;234.413215_27.468708;234.156656_27.350370;233.894886_27.244273;233.627726_27.152520;233.356782_27.072393;233.083836_26.999201;232.810384_26.927874;232.537718_26.853662;232.267125_26.772339;232.000043_26.680279;231.736927_26.577326;231.475970_26.468868;231.214068_26.362783;230.948297_26.267123;230.677384_26.187355;230.402133_26.123985;230.123916_26.074997;229.843867_26.037536;229.562914_26.007164;229.281814_25.978087;229.001276_25.944296;228.722158_25.900622;228.445520_25.843529;228.172661_25.770649;227.904902_25.680847;227.642011_25.577362;227.381610_25.467581;227.120550_25.359422;226.856154_25.259882;226.587806_25.171497;226.316665_25.091946;226.044037_25.017553;225.771093_24.944309;225.498999_24.868026;225.229042_24.784617;224.962614_24.690663;224.699963_24.586498;224.439250_24.477454;224.177662_24.370580;223.912656_24.272702;223.643464_24.186988;223.371235_24.111279;223.097445_24.041289;222.823401_23.972279;222.550465_23.899115;222.280248_23.816676;222.014655_23.720584;221.754881_23.609662;221.500059_23.487591;221.247968_23.359882;220.996257_23.231412;220.743453_23.105115;220.489762_22.980597;220.236247_22.855724;219.983944_22.728433;219.732810_22.598838;219.480909_22.470771;219.225445_22.350124;218.963873_22.243732;218.695216_22.157019;218.420636_22.091280;218.142039_22.045142;217.861069_22.016237;217.578956_22.001025;217.296446_21.995046;217.013851_21.993578;216.731257_21.991942;216.448754_21.985620;216.166648_21.970218;215.885632_21.941623;215.606776_21.896874;215.331376_21.834407;215.060853_21.753447;214.795977_21.655393;214.535433_21.546034;214.276231_21.433443;214.015141_21.325429;213.750108_21.227607;213.481384_21.140311;213.210361_21.060316;212.938320_20.983788;212.666446_20.906679;212.395948_20.824955;212.128170_20.734841;211.864233_20.634065;211.603405_20.525335;211.342962_20.415659;211.079804_20.312874;210.811695_20.224133;
